DEPTH,Density,DTCRT,Porosity,Permeability,Water_saturation,Clay,Sand,Calcite,VUGA(Gas),VUOI(CO2),VUWA(Water),DTDRT
4275.3,2.505178149,67.23072278,0.07753048,0.258888309,0.663802644,0.12032874,0.802140779,0,0,0.026023173,0.051507307,108.65333
4275.4,2.513178767,67.52477639,0.08444626,0.381137665,0.687503575,0.101025575,0.814528164,0,0,0.026353521,0.05809274,108.80929
4275.5,2.49888,68.09586535,0.090676,0.520932,0.688648,0.076728,0.829236,0.00336,0,0.02818,0.062496,109.3948905
4275.6,2.48324,68.95218067,0.092216,0.563132,0.69168,0.068628,0.8299,0.009256,0,0.02846,0.063756,110.4861654
4275.7,2.4794,69.91502861,0.090504,0.514984,0.67718,0.075636,0.822496,0.011364,0,0.029208,0.061296,111.9354281
4275.8,2.48584,70.89526611,0.086892,0.426384,0.637084,0.091808,0.81558,0.00572,0,0.031452,0.05544,113.8116309
4275.9,2.493862557,71.76436822,0.083582643,0.354818492,0.613669075,0.108417888,0.807999469,0,0,0.032265462,0.05131718,116.0086612
4276,2.511660347,72.46942739,0.071427788,0.220233411,0.627918838,0.179908748,0.744662934,0.00400053,0,0.026726157,0.044701631,118.3169539
4276.1,2.54462,72.97193634,0.047156,0.062485,0.663901,0.32907,0.619347,0.004427,0,0.016157,0.030999,120.6338374
4276.2,2.57331,73.3522943,0.028955,0.019708,0.689985,0.445765,0.525025,0.000255,0,0.009034,0.019921,122.8312329
4276.3,2.594692185,73.72490144,0.018387234,0.011179519,0.691448737,0.520697017,0.460867031,0,0,0.005692325,0.01269491,124.8522404
4276.4,2.611339574,73.95435796,0.009187254,0.006698128,0.632072974,0.684452718,0.306308246,0,0,0.003132085,0.006055168,126.5009596
4276.5,2.6208,73.95165341,0.002752,0.00458,0.776607999,0.82206,0.175188,0,0,0.001144,0.001608,127.7000573
4276.6,2.62408,73.75285538,0.002356,0.004328,1,0.83224,0.165404,0,0,0,0.002356,128.4844402
4276.7,2.62776,73.26491821,0.002496,0.004372,1,0.842924,0.150164,0.004416,0,0,0.002496,128.5468361
4276.8,2.64504,72.50625832,0,0.0038,1,0.854952,0.1262,0.018848,0,0,0,127.892829
4276.9,2.66612,71.54107638,0,0.0038,1,0.858368,0.109932,0.0317,0,0,0,126.7497302
4277,2.684207109,70.56570017,0,0.0038,1,0.857031012,0.107172398,0.03579659,0,0,0,125.1869858
4277.1,2.68519491,69.78722991,0.008536817,0.006678127,0.776091491,0.825611369,0.146696212,0.019155603,0,0.003902545,0.004634272,123.5122092
4277.2,2.65593,69.205,0.0175,0.0097,0.532866,0.791836,0.190664,0,0,0.008147,0.009353,122.0613
4277.3,2.625229989,68.80643235,0.0175,0.0097,0.525082112,0.78829472,0.19420528,0,0,0.0083,0.0092,121.0837966
4277.4,2.620822264,68.49984166,0.0175,0.0097,0.532068944,0.7865,0.196,0,0,0.008203555,0.009296445,120.5512918
