DEPTH,Density,DTCRT,Porosity,Permeability,Water_saturation,Clay,Sand,Calcite,VUGA(Gas),VUOI(CO2),VUWA(Water),DTDRT
4366.2,2.600375913,64.35530948,0.031532655,0.02078592,0.983487092,0.315058202,0.619994045,0.033415098,0,0.000557184,0.030975471,105.5027634
4366.3,2.622462764,64.40991844,0.027853426,0.016953128,1,0.315608043,0.606418767,0.050119765,0,0,0.027853426,105.9693444
4366.4,2.6375,64.31756431,0.02735,0.01645,1,0.30575,0.60745,0.05945,0,0,0.02735,106.2137086
4366.5,2.6285,64.02704331,0.03115,0.02045,1,0.2868,0.63245,0.0496,0,0,0.03115,106.2612173
4366.6,2.617,63.68897467,0.03755,0.0289,1,0.2675,0.66305,0.0319,0,0,0.03755,106.1893768
4366.7,2.624,63.49994934,0.04125,0.0347,0.9746,0.263,0.6738,0.02195,0,0.00105,0.0402,106.1590913
4366.8,2.635,63.49738503,0.03935,0.0316,0.924,0.30215,0.6302,0.02825,0,0.0029,0.03645,106.4225953
4366.9,2.645,63.78924317,0.0329,0.02275,0.9494,0.37635,0.55215,0.0385,0,0.00185,0.03105,107.1003547
4367,2.644545184,64.34574565,0.024579543,0.014572592,1,0.449404965,0.482530785,0.043434359,0,0,0.024579543,108.0581033
4367.1,2.637508475,64.98035009,0.019513559,0.010808475,1,0.507018644,0.429684746,0.043783051,0,0,0.019513559,109.309826
4367.2,2.633052645,65.65000833,0.0217592,0.01232302,1,0.607021451,0.316442418,0.05477693,0,0,0.0217592,110.7478061
4367.3,2.637473825,66.390844,0.026893841,0.016144611,1,0.711970396,0.183764402,0.077371361,0,0,0.026893841,112.1707563
4367.4,2.652,66.93897244,0.02835,0.0174,1,0.7506,0.1356,0.08545,0,0,0.02835,113.4371401
4367.5,2.657,67.10156103,0.02035,0.01225,1,0.84195,0.0794,0.0583,0,0,0.02035,114.4506336
4367.6,2.649,66.93622441,0.007,0.0058,1,0.95805,0.0181,0.01685,0,0,0.007,115.2498068
4367.7,2.639,66.31440158,0.00085,0.00395,1,0.99385,0.00465,0.00065,0,0,0.00085,115.6156047
4367.8,2.637,65.37934843,0.0044,0.0049,1,0.9647,0.01425,0.0166,0,0,0.0044,115.4008814
4367.9,2.6435,64.42346195,0.0101,0.00655,1,0.90395,0.04885,0.03705,0,0,0.0101,114.6807775
4368,2.653469163,63.70666956,0.013936637,0.008044175,1,0.832513487,0.114586513,0.038963363,0,0,0.013936637,113.1745614
4368.1,2.652592663,63.32402325,0.016588207,0.009244103,1,0.766370053,0.185940654,0.031101087,0,0,0.016588207,111.0211893
4368.2,2.642066303,63.12388604,0.01942149,0.010833424,1,0.69157391,0.271355809,0.017698128,0,0,0.01942149,108.6142657
4368.3,2.629025441,63.17539682,0.025387916,0.01509046,1,0.621022983,0.338505002,0.015134259,0,0,0.025387916,106.4195664
4368.4,2.614,63.47453215,0.03035,0.01935,1,0.54765,0.4003,0.0217,0,0,0.03035,104.9148504
4368.5,2.604,63.99036404,0.0336,0.02315,1,0.4652,0.48445,0.0168,0,0,0.0336,104.2067045
4368.6,2.5875,64.84624488,0.05045,0.0754,0.91655,0.35745,0.5784,0.01375,0,0.00545,0.045,104.5183406
4368.7,2.5455,65.98357532,0.068,0.14705,0.82835,0.2531,0.66115,0.0178,0,0.0117,0.0563,105.583785
4368.8,2.495,67.24652099,0.07205,0.1813,0.8194,0.2143,0.692,0.0217,0,0.013,0.05905,107.0564908
