DEPTH(TVD),BDCFM,DTCR,Por,Permeability,Water_saturation,Clay,Sand,Calcite,UGas_QE,UOil_QE,UWater_QE
1648.7,2.372054665,98.35282933,0.135968073,0,0,0.523789744,0,0,0,0,0
1648.8,2.361271061,97.06979839,0.136258166,0,0,0.539059886,0,0,0,0,0
1648.9,2.364184917,96.44829518,0.128041067,0,0,0.544987036,0,0,0,0,0
1649,2.375022489,96.85822771,0.119145021,0,0,0.543226783,0,0,0,0,0
1649.1,2.390227927,98.01234419,0.112522213,0,0,0.539712669,0,0,0,0,0
1649.2,2.40264013,99.08266008,0.109422142,0,0,0.540378679,0,0,0,0,0
1649.3,2.407988389,99.96764107,0.108970808,0,0,0.546488676,0,0,0,0,0
1649.4,2.409279019,101.0758607,0.108848946,0,0,0.554638687,0,0,0,0,0
1649.5,2.411034084,102.6454684,0.107430736,0,0,0.56289017,0,0,0,0,0
1649.6,2.415139968,103.2010361,0.104795483,0,0,0.572326525,0,0,0,0,0
1649.7,2.416724916,98.14439097,0.104895539,0,0,0.572416328,0,0,0,0,0
1649.8,2.41579649,90.51809066,0.106408811,0,0,0.571912397,0,0,0,0,0
1649.9,2.41624314,86.24117978,0.104650465,0,0,0.590389905,0,0,0,0,0
1650,2.417889738,85.03866581,0.101308161,0,0,0.612000818,0,0,0,0,0
1650.1,2.422033445,84.83860677,0.097627859,0,0,0.628261287,0,0,0,0,0
1650.2,2.432637011,84.87071577,0.092476874,0,0,0.6456149,0,0,0,0,0
1650.3,2.43921363,84.76300442,0.090523578,0,0,0.644284429,0,0,0,0,0
1650.4,2.438099493,84.36395968,0.091968086,0,0,0.627685653,0,0,0,0,0
1650.5,2.432012073,84.06637374,0.093366315,0,0,0.617293205,0,0,0,0,0
1650.6,2.422292599,83.913296,0.094435719,0,0,0.615404833,0,0,0,0,0
1650.7,2.413548653,83.98468711,0.095296144,0,0,0.615471714,0,0,0,0,0
1650.8,2.416287666,84.29166677,0.095108767,0,0,0.609578309,0,0,0,0,0
1650.9,2.421649364,84.56874051,0.097249685,0,0,0.58843453,0,0,0,0,0
1651,2.423896993,84.3973795,0.101572537,0,0,0.557390603,0,0,0,0,0
1651.1,2.426153416,85.49502839,0.102903029,0,0,0.534491057,0,0,0,0,0
1651.2,2.425173097,91.19583742,0.101327901,0,0,0.525333697,0,0,0,0,0
1651.3,2.420253023,98.73356774,0.098651976,0,0,0.526085711,0,0,0,0,0
1651.4,2.414311156,103.8762617,0.096599155,0,0,0.535684336,0,0,0,0,0
1651.5,2.409976688,105.2298477,0.094940101,0,0,0.546890044,0,0,0,0,0
1651.6,2.407635464,104.2935861,0.093399107,0,0,0.556434355,0,0,0,0,0
1651.7,2.408000339,102.9117755,0.094124709,0,0,0.562713757,0,0,0,0,0
1651.8,2.40881985,102.0203762,0.096239027,0,0,0.567306777,0,0,0,0,0
1651.9,2.40888611,101.9206393,0.098901311,0,0,0.571278058,0,0,0,0,0
1652,2.40278705,102.463511,0.103586079,0,0,0.571164344,0,0,0,0,0
1652.1,2.395119131,102.5882768,0.108536262,0,0,0.569772658,0,0,0,0,0
1652.2,2.38882493,102.2154823,0.112724348,0,0,0.568909019,0,0,0,0,0
1652.3,2.390738804,102.1063394,0.111538541,0,0,0.56591977,0,0,0,0,0
1652.4,2.399377797,102.4768303,0.106700333,0,0,0.559499145,0,0,0,0,0
1652.5,2.413694692,102.6062523,0.099384487,0,0,0.549051101,0,0,0,0,0
1652.6,2.425492605,101.7520223,0.094149794,0,0,0.543749353,0,0,0,0,0
1652.7,2.430554461,100.9790293,0.093463878,0,0,0.536860582,0,0,0,0,0
1652.8,2.426428344,100.6554579,0.098979822,0,0,0.522262223,0,0,0,0,0
1652.9,2.415879976,100.7135961,0.10641938,0,0,0.506567047,0,0,0,0,0
1653,2.406515864,101.0785155,0.112974789,0,0,0.487235007,0,0,0,0,0
1653.1,2.403527559,102.223352,0.117379316,0,0,0.459197612,0,0,0,0,0
1653.2,2.414420466,100.760598,0.111925979,0,0,0.462327544,0,0,0,0,0
1653.3,2.433250999,94.77776839,0.103013716,0,0,0.482964592,0,0,0,0,0
1653.4,2.457309406,85.84748476,0.096783038,0,0,0.507083343,0,0,0,0,0
1653.5,2.47547273,79.0078969,0.091578026,0,0,0.525602565,0,0,0,0,0
1653.6,2.489225282,77.92192,0.087331594,0,0,0.536445304,0,0,0,0,0
1653.7,2.50084086,78.4331784,0.0856124,0,0,0.533147213,0,0,0,0,0
1653.8,2.498412268,79.95531774,0.091577405,0,0,0.521150817,0,0,0,0,0
1653.9,2.485239603,84.14488521,0.101538271,0,0,0.512481152,0,0,0,0,0
1654,2.461001046,93.76626496,0.110950696,0,0,0.529916584,0,0,0,0,0
1654.1,2.433463123,100.5707626,0.119736613,0,0,0.551832347,0,0,0,0,0
1654.2,2.405837374,103.5386918,0.127047858,0,0,0.575221674,0,0,0,0,0
1654.3,2.382052347,104.1852189,0.12788855,0,0,0.61042072,0,0,0,0,0
1654.4,2.367447412,103.588409,0.127928692,0,0,0.63001371,0,0,0,0,0
1654.5,2.360523622,102.16404,0.127634512,0,0,0.636505881,0,0,0,0,0
1654.6,2.364728727,93.71511484,0.122230542,0,0,0.644680491,0,0,0,0,0
1654.7,2.38225688,88.11772842,0.111701206,0,0,0.649611929,0,0,0,0,0
1654.8,2.411424037,84.44123297,0.096927684,0,0,0.65126159,0,0,0,0,0
1654.9,2.46421462,80.72521129,0.074221392,0,0,0.652295714,0,0,0,0,0
1655,2.526052832,76.45782194,0.052357037,0,0,0.637044349,0,0,0,0,0
1655.1,2.593382774,74.1213271,0.032579141,0,0,0.605198974,0,0,0,0,0
1655.2,2.651681533,73.34937574,0.018776847,0,0,0.551420809,0,0,0,0,0
1655.3,2.69403585,73.56383651,0.014783991,0,0,0.489620274,0,0,0,0,0
1655.4,2.719022112,74.84053387,0.021358076,0,0,0.421495456,0,0,0,0,0
1655.5,2.686722021,77.91412847,0.048899696,0,0,0.344763054,0,0,0,0,0
1655.6,2.622506914,82.066128,0.089230447,0,0,0.271927388,0,0,0,0,0
1655.7,2.524415151,85.46652885,0.143686846,0,0,0.204734837,0,0,0,0,0
