DEPTH,BDCFM,DTCR,Por,Permeability,Water_saturation,Clay,Sand,Calcite,UGas_QE,UOil_QE,UWater_QE
3198.5,2.54399991,96.73523644,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3198.6,2.565999985,94.57997228,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3198.7,2.529999971,92.38162711,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3198.8,2.474999905,90.06567946,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3198.9,2.338000059,87.58968715,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3199.0,2.213000059,84.85138815,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3199.1,2.255000114,82.03292038,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3199.2,2.457000017,79.19467269,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3199.3,2.579999924,76.65283305,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3199.4,2.612999916,74.43496426,0.05793055,0.044798002,1.0,0.5297902,0.4122793,0.0,0.0,0.0,0.05793055
3199.5,2.602999926,72.69634669,0.06641284,0.082359999,1.0,0.4328899,0.5006973,0.0,0.0,0.0,0.06641284
3199.6,2.575999975,71.62298252,0.07193858,0.122460999,1.0,0.3536372,0.5744242,0.0,0.0,0.0,0.07193858
3199.7,2.519000053,70.96444575,0.09092473,0.478574008,1.0,0.256163,0.6529123,0.0,0.0,0.0,0.09092473
3199.8,2.470000029,70.77803345,0.1079392,1.62340796,1.0,0.2098,0.6822608,0.0,0.0,0.0,0.1079392
3199.9,2.46600008,70.94605143,0.1043071,1.250789046,1.0,0.2316368,0.6640562,0.0,0.0,0.0,0.1043071
3200.0,2.490999937,71.29157525,0.09200843,0.51729399,1.0,0.2843034,0.6236882,0.0,0.0,0.0,0.09200843
3200.1,2.486999989,71.78846299,0.09996063,0.915525973,1.0,0.2498469,0.6501924,0.0,0.0,0.0,0.09996063
3200.2,2.460000038,72.33103036,0.1104152,1.939195991,1.0,0.2215032,0.6680816,0.0,0.0,0.0,0.1104152
3200.3,2.444999933,72.87142383,0.1138514,2.481750011,1.0,0.2319217,0.6542269,0.0,0.0,0.0,0.1138514
3200.4,2.453000069,73.34724343,0.113584,2.434556007,1.0,0.2258827,0.6605333,0.0,0.0,0.0,0.113584
3200.5,2.438999891,73.68850977,0.1271723,6.457691193,1.0,0.1890521,0.6837756,0.0,0.0,0.0,0.1271723
3200.6,2.417000055,73.90872754,0.1436451,21.07003975,1.0,0.1329904,0.7233645,0.0,0.0,0.0,0.1436451
3200.7,2.388999939,73.88547136,0.1528391,40.76758957,1.0,0.1230372,0.7241238,0.0,0.0,0.0,0.1528391
3200.8,2.371000051,73.65577484,0.1607164,71.76529694,1.0,0.09343874,0.7458448,0.0,0.0,0.0,0.1607164
3200.9,2.380000114,73.27706944,0.1568851,54.50831985,1.0,0.09471501,0.7483999,0.0,0.0,0.0,0.1568851
3201.0,2.390000105,72.71137619,0.1441422,21.83559036,1.0,0.1528472,0.7030106,0.0,0.0,0.0,0.1441422
3201.1,2.407000065,72.10038135,0.1323454,9.361865044,1.0,0.1836202,0.6840344,0.0,0.0,0.0,0.1323454
3201.2,2.453999996,71.47933334,0.1126367,2.274488926,1.0,0.2145979,0.6727655,0.0,0.0,0.0,0.1126367
3201.3,2.48300004,70.9803063,0.1017437,1.040547967,1.0,0.2349674,0.663289,0.0,0.0,0.0,0.1017437
3201.4,2.48300004,70.62299579,0.0996383,0.894584,1.0,0.2449891,0.6553726,0.0,0.0,0.0,0.0996383
3201.5,2.483999968,70.39618834,0.09087075,0.476722986,1.0,0.2963228,0.6128064,0.0,0.0,0.0,0.09087075
3201.6,2.509000063,70.43349758,0.07641407,0.168863997,1.0,0.3804338,0.5431521,0.0,0.0,0.0,0.07641407
3201.7,2.532999992,70.59305755,0.07136835,0.117549002,1.0,0.3876928,0.5409388,0.0,0.0,0.0,0.07136835
3201.8,2.535000086,70.85817437,0.0748453,0.150877997,1.0,0.3855983,0.5395564,0.0,0.0,0.0,0.0748453
3201.9,2.532000065,71.19476432,0.07690074,0.174868003,1.0,0.3916814,0.5314178,0.0,0.0,0.0,0.07690074
3202.0,2.509000063,71.52011362,0.09744214,0.764097989,1.0,0.2967691,0.6057887,0.0,0.0,0.0,0.09744214
3202.1,2.469000101,71.81220481,0.1166489,3.03373909,1.0,0.2350018,0.6483492,0.0,0.0,0.0,0.1166489
3202.2,2.45600009,71.98821012,0.1222042,4.520428181,1.0,0.2184726,0.6593233,0.0,0.0,0.0,0.1222042
3202.3,2.444999933,72.08501599,0.1227628,4.705400944,1.0,0.227054,0.6501833,0.0,0.0,0.0,0.1227628
3202.4,2.434000015,72.08892579,0.1258,5.851819992,1.0,0.2119664,0.6622336,0.0,0.0,0.0,0.1258
3202.5,2.434000015,71.9951194,0.1256551,5.791263103,1.0,0.2058674,0.6684775,0.0,0.0,0.0,0.1256551
3202.6,2.440999985,71.86070284,0.117255,3.168658018,1.0,0.2425674,0.6401775,0.0,0.0,0.0,0.117255
3202.7,2.463000059,71.69366809,0.1076121,1.58572197,1.0,0.282405,0.6099829,0.0,0.0,0.0,0.1076121
3202.8,2.493000031,71.53203024,0.09182053,0.510362029,1.0,0.3507231,0.5574564,0.0,0.0,0.0,0.09182053
